판매ID,판매일,거래처코드,거래처명,제품코드, 단가 ,수량,할인율, 금액 
26,2019-01-06,25,삼양상사,BH060509," 34,600 ",5,0.1," 155,700 "
27,2019-01-07,32,대한전자,PA220176," 33,900 ",6,0.1," 183,060 "
28,2019-01-07,18,우주전산,PA220123," 29,000 ",7,0.1," 182,700 "
29,2019-01-07,10,신영상사,PC170692," 423,700 ",13,0.1," 4,957,290 "
30,2019-01-07,9,월드링크,MP010041," 129,100 ",16,0.1," 1,859,040 "
31,2019-01-08,50,프로시스템즈,PJ190248," 907,400 ",20,0.1," 16,333,200 "
32,2019-01-08,15,협우상사,PA220224," 17,400 ",7,0.1," 109,620 "
33,2019-01-08,45,인터비타,NT150389," 700,300 ",24,0," 16,807,200 "
34,2019-01-09,49,강남상사,TVAC040669," 99,000 ",14,0," 1,386,000 "
35,2019-01-09,36,굿모닝전자,AD340678," 264,000 ",7,0.1," 1,663,200 "
36,2019-01-09,4,동광통상,MP010061," 133,500 ",4,0.1," 480,600 "
37,2019-01-09,14,베네디스,TV090349," 570,600 ",5,0," 2,853,000 "
38,2019-01-10,15,협우상사,PA220071," 30,800 ",4,0.1," 110,880 "
39,2019-01-10,9,월드링크,PA220304," 21,000 ",3,0.1," 56,700 "
40,2019-01-10,10,신영상사,PA220240," 17,500 ",22,0.1," 346,500 "
41,2019-01-10,9,월드링크,MP010057," 162,700 ",2,0.1," 292,860 "
42,2019-01-10,12,유니테크,BH060630," 139,600 ",9,0.1," 1,130,760 "
43,2019-01-10,17,티엔씨에스,TVAC040667," 85,800 ",4,0," 343,200 "
44,2019-01-10,17,티엔씨에스,OA290185," 27,900 ",9,0.1," 225,990 "
45,2019-01-11,3,태화상사,SP320541," 400,600 ",16,0.1," 5,768,640 "
46,2019-01-11,44,영진전자,MP010006," 281,700 ",20,0.1," 5,070,600 "
47,2019-01-11,35,에이빌,PA220268," 18,700 ",10,0.1," 168,300 "
48,2019-01-11,17,티엔씨에스,CA280103," 67,200 ",1,0.1," 60,480 "
49,2019-01-11,12,유니테크,OA290020," 43,700 ",49,0.1," 1,927,170 "
50,2019-01-11,9,월드링크,NT150452," 518,000 ",12,0.1," 5,594,400 "
51,2019-01-11,15,협우상사,SP310290," 310,800 ",42,0," 13,053,600 "
52,2019-01-11,27,이화무역,OA290020," 43,700 ",5,0," 218,500 "
53,2019-01-12,15,협우상사,TV090359," 816,500 ",10,0," 8,165,000 "
54,2019-01-12,6,글로벌 전자,NT150592," 515,400 ",3,0," 1,546,200 "
55,2019-01-12,43,드림테크,SP320542," 351,600 ",10,0," 3,516,000 "
56,2019-01-12,23,알프스무역,MT180606," 541,400 ",4,0," 2,165,600 "
57,2019-01-12,5,오성통상,SP320702," 932,200 ",2,0," 1,864,400 "
58,2019-01-12,49,강남상사,TVAC040670," 66,000 ",13,0," 858,000 "
59,2019-01-12,1,한미전자,SP320542," 351,600 ",5,0," 1,758,000 "
60,2019-01-13,38,K마켓,SP320540," 400,600 ",5,0," 2,003,000 "
61,2019-01-13,27,이화무역,PA220209," 48,400 ",2,0," 96,800 "
62,2019-01-13,18,우주전산,CA270420," 860,500 ",3,0.1," 2,323,350 "
63,2019-01-13,34,ABC상사,PJ190662," 437,800 ",4,0," 1,751,200 "
64,2019-01-13,14,베네디스,PA220096," 16,000 ",8,0," 128,000 "
65,2019-01-13,39,명성전자,SP320550," 300,000 ",2,0," 600,000 "
66,2019-01-13,17,티엔씨에스,TV090345," 424,900 ",7,0," 2,974,300 "
67,2019-01-13,30,샤론통상,OA290045," 40,000 ",3,0," 120,000 "
68,2019-01-13,43,드림테크,PJ190662," 437,800 ",7,0," 3,064,600 "
69,2019-01-13,33,신성무역,SP320540," 400,600 ",7,0.1," 2,523,780 "
70,2019-01-14,34,ABC상사,CA280264," 67,300 ",4,0.1," 242,280 "
71,2019-01-14,20,세종물산,NT150452," 518,000 ",4,0.1," 1,864,800 "
72,2019-01-14,17,티엔씨에스,MP010035," 80,700 ",4,0.1," 290,520 "
73,2019-01-14,15,협우상사,OA290181," 48,800 ",12,0.1," 527,040 "
74,2019-01-14,33,신성무역,TV090658," 1,293,600 ",3,0.1," 3,492,720 "
75,2019-01-15,29,태성무역,MT180375," 60,400 ",1,0.1," 54,360 "
76,2019-01-15,13,미림상사,CA270439," 484,500 ",4,0.1," 1,744,200 "
77,2019-01-15,6,글로벌 전자,MP010055," 162,700 ",8,0.1," 1,171,440 "
78,2019-01-15,13,미림상사,CA270417," 858,100 ",19,0.1," 14,673,510 "
79,2019-01-15,4,동광통상,TV090365," 1,436,600 ",2,0," 2,873,200 "
80,2019-01-16,11,서주무역,DV350157," 21,800 ",40,0.1," 784,800 "
81,2019-01-16,53,국제전자,SP320697," 683,600 ",12,0.1," 7,382,880 "
82,2019-01-16,37,J마켓,PA220316," 20,900 ",37,0.1," 695,970 "
83,2019-01-16,33,신성무역,SP320697," 683,600 ",29,0.1," 17,841,960 "
84,2019-01-17,37,J마켓,CA280309," 30,400 ",71,0.1," 1,942,560 "
85,2019-01-17,40,가나전자,SP320559," 356,000 ",34,0.1," 10,893,600 "
86,2019-01-17,6,글로벌 전자,CA280193," 105,000 ",1,0.1," 94,500 "
87,2019-01-17,25,삼양상사,CA280284," 115,300 ",63,0.1," 6,537,510 "
88,2019-01-17,49,강남상사,CA270407," 568,000 ",38,0.1," 19,425,600 "
89,2019-01-17,6,글로벌 전자,MT180376," 60,400 ",77,0," 4,650,800 "
90,2019-01-17,41,금산전자,TV090359," 816,500 ",5,0," 4,082,500 "
91,2019-01-17,14,베네디스,SP320529," 361,800 ",8,0," 2,894,400 "
92,2019-01-17,5,오성통상,SP320559," 356,000 ",6,0," 2,136,000 "
93,2019-01-18,51,그린테크,PA220177," 33,900 ",1,0," 33,900 "
94,2019-01-18,50,프로시스템즈,NT150598," 700,300 ",56,0," 39,216,800 "
95,2019-01-18,16,대진상사,PA220266," 18,700 ",7,0," 130,900 "
96,2019-01-19,24,유미백화점,EP330676," 71,500 ",44,0.1," 2,831,400 "
97,2019-01-19,34,ABC상사,PA220230," 156,600 ",34,0," 5,324,400 "
98,2019-01-19,36,굿모닝전자,BH060635," 218,700 ",34,0.1," 6,692,220 "
99,2019-01-20,30,샤론통상,BH060671," 58,200 ",1,0.1," 52,380 "
100,2019-01-20,52,제우스,PA330297," 15,100 ",5,0," 75,500 "
101,2019-01-20,42,우리정보,SP320539," 400,600 ",16,0.1," 5,768,640 "
102,2019-01-20,17,티엔씨에스,SP320539," 400,600 ",36,0," 14,421,600 "
103,2019-01-21,17,티엔씨에스,NT150385," 628,600 ",4,0," 2,514,400 "
104,2019-01-21,11,서주무역,TV090648," 556,600 ",4,0.1," 2,003,760 "
105,2019-01-21,27,이화무역,CA270440," 502,000 ",2,0.1," 903,600 "
106,2019-01-21,5,오성통상,PA220315," 20,900 ",5,0.1," 94,050 "
107,2019-01-21,9,월드링크,TVAC040670," 66,000 ",6,0," 396,000 "
108,2019-01-22,4,동광통상,PA220212," 202,000 ",7,0.1," 1,272,600 "
109,2019-01-22,10,신영상사,CA270490," 680,900 ",6,0.1," 3,676,860 "
110,2019-01-22,52,제우스,NT150682," 833,600 ",14,0.1," 10,503,360 "
111,2019-01-22,36,굿모닝전자,OA290205," 35,200 ",20,0.1," 633,600 "
112,2019-01-22,43,드림테크,PA220328," 85,000 ",2,0.1," 153,000 "
113,2019-01-22,34,ABC상사,OA290205," 35,200 ",3,0.1," 95,040 "
114,2019-01-23,32,대한전자,PA220324," 28,200 ",7,0.1," 177,660 "
115,2019-01-23,37,J마켓,BH060630," 139,600 ",7,0.1," 879,480 "
116,2019-01-23,13,미림상사,PA220230," 156,600 ",2,0.1," 281,880 "
117,2019-01-23,37,J마켓,PA220212," 202,000 ",7,0.1," 1,272,600 "
118,2019-01-23,29,태성무역,OA290016," 35,200 ",12,0.1," 380,160 "
119,2019-01-24,3,태화상사,SP310549," 352,100 ",7,0.1," 2,218,230 "
120,2019-01-24,42,우리정보,CA270448," 449,500 ",3,0.1," 1,213,650 "
121,2019-01-24,19,양정물산,PA220302," 21,000 ",6,0.1," 113,400 "
122,2019-01-24,1,한미전자,DV350169," 148,100 ",3,0.1," 399,870 "
123,2019-01-24,10,신영상사,PA220319," 20,900 ",13,0.1," 244,530 "
124,2019-01-24,8,태강교역,PA220336," 36,400 ",13,0.1," 425,880 "
125,2019-01-24,33,신성무역,SP320545," 332,400 ",5,0.1," 1,495,800 "
126,2019-01-24,41,금산전자,SP320561," 210,000 ",6,0.1," 1,134,000 "
127,2019-01-24,6,글로벌 전자,SP320545," 332,400 ",1,0.1," 299,160 "
128,2019-01-25,1,한미전자,CA270410," 581,500 ",6,0.1," 3,140,100 "
129,2019-01-25,47,삼인시스템,CA280114," 248,900 ",7,0.1," 1,568,070 "
130,2019-01-25,13,미림상사,BH060508," 34,600 ",13,0.1," 404,820 "
131,2019-01-25,19,양정물산,DC230639," 433,000 ",7,0.1," 2,727,900 "
132,2019-01-25,49,강남상사,PC170378," 569,400 ",7,0.1," 3,587,220 "
133,2019-01-25,12,유니테크,TVAC040666," 550,000 ",7,0.1," 3,465,000 "
134,2019-01-26,5,오성통상,NT150592," 515,400 ",13,0.1," 6,030,180 "
135,2019-01-26,36,굿모닝전자,OA290031," 43,700 ",3,0.1," 117,990 "
136,2019-01-26,52,제우스,PE040587," 258,900 ",1,0.1," 233,010 "
137,2019-01-26,39,명성전자,NT150600," 916,200 ",8,0," 7,329,600 "
138,2019-01-26,35,에이빌,TV090644," 607,000 ",2,0.1," 1,092,600 "
139,2019-01-26,19,양정물산,TV090653," 769,800 ",7,0.1," 4,849,740 "
140,2019-01-26,20,세종물산,OA290031," 43,700 ",22,0.1," 865,260 "
141,2019-01-27,10,신영상사,OA290173," 48,500 ",4,0.1," 174,600 "
142,2019-01-27,16,대진상사,MP010026," 223,100 ",1,0.1," 200,790 "
143,2019-01-27,50,프로시스템즈,PA220337," 113,700 ",32,0.1," 3,274,560 "
144,2019-01-27,48,한양이엔지,OA290173," 48,500 ",5,0.1," 218,250 "
145,2019-01-28,14,베네디스,PJ200615," 261,500 ",1,0," 261,500 "
146,2019-01-28,27,이화무역,BH060629," 139,600 ",17,0.1," 2,135,880 "
147,2019-01-28,13,미림상사,MP010054," 261,700 ",2,0.1," 471,060 "
148,2019-01-28,14,베네디스,TV090648," 556,600 ",26,0.1," 13,024,440 "
149,2019-01-28,48,한양이엔지,TVAC040669," 99,000 ",21,0," 2,079,000 "
150,2019-01-29,30,샤론통상,DV350172," 194,200 ",7,0.1," 1,223,460 "
151,2019-01-29,2,혜성전자,PA220268," 18,700 ",23,0.1," 387,090 "
152,2019-01-29,9,월드링크,PA220070," 30,800 ",3,0.1," 83,160 "
153,2019-01-29,43,드림테크,NT150455," 495,300 ",7,0.1," 3,120,390 "
154,2019-01-30,39,명성전자,NT150681," 975,000 ",19,0," 18,525,000 "
155,2019-01-30,7,삼화상사,PA220093," 36,200 ",10,0.1," 325,800 "
156,2019-01-31,29,태성무역,TV090359," 816,500 ",11,0," 8,981,500 "
157,2019-01-31,45,인터비타,PA220231," 156,600 ",9,0.1," 1,268,460 "
158,2019-02-01,25,삼양상사,NT150600," 916,200 ",7,0," 6,413,400 "
159,2019-02-01,53,국제전자,MP010049," 17,500 ",9,0.1," 141,750 "
160,2019-02-01,35,에이빌,PJ200275," 219,500 ",10,0," 2,195,000 "
161,2019-02-01,35,에이빌,SP320556," 356,000 ",20,0.1," 6,408,000 "
162,2019-02-02,16,대진상사,PA220095," 36,200 ",5,0.1," 162,900 "
163,2019-02-02,6,글로벌 전자,PA220209," 48,400 ",2,0.1," 87,120 "
164,2019-02-02,48,한양이엔지,TV090352," 607,000 ",3,0," 1,821,000 "
165,2019-02-02,14,베네디스,SP320532," 321,900 ",2,0.1," 579,420 "
166,2019-02-02,42,우리정보,PA220279," 14,000 ",6,0.1," 75,600 "
167,2019-02-02,5,오성통상,SP310576," 313,200 ",15,0.1," 4,228,200 "
168,2019-02-03,45,인터비타,TVAC040666," 550,000 ",7,0," 3,850,000 "
169,2019-02-03,53,국제전자,NT150686," 1,099,800 ",28,0," 30,794,400 "
170,2019-02-03,33,신성무역,SP320559," 356,000 ",10,0.1," 3,204,000 "
171,2019-02-03,18,우주전산,TV090353," 607,000 ",4,0," 2,428,000 "
172,2019-02-03,26,신세기상사,NT150600," 916,200 ",11,0," 10,078,200 "
173,2019-02-04,31,한진무역,CA270420," 860,500 ",2,0.1," 1,548,900 "
174,2019-02-04,22,동도교역,MP010001," 242,700 ",3,0.1," 655,290 "
175,2019-02-04,9,월드링크,OA290108," 37,600 ",5,0.1," 169,200 "
176,2019-02-05,29,태성무역,PC170378," 569,400 ",6,0," 3,416,400 "
177,2019-02-05,9,월드링크,PJ190249," 907,400 ",4,0.1," 3,266,640 "
178,2019-02-05,10,신영상사,PA220200," 34,300 ",6,0.1," 185,220 "
179,2019-02-05,8,태강교역,PJ200615," 261,500 ",18,0.1," 4,236,300 "
180,2019-02-05,49,강남상사,PJ200615," 261,500 ",3,0," 784,500 "
181,2019-02-05,14,베네디스,OA290187," 27,900 ",2,0," 55,800 "
182,2019-02-05,14,베네디스,TV090653," 769,800 ",15,0," 11,547,000 "
183,2019-02-05,36,굿모닝전자,NT150594," 628,600 ",1,0," 628,600 "
184,2019-02-06,33,신성무역,TVAC040665," 74,800 ",15,0," 1,122,000 "
185,2019-02-06,40,가나전자,OA290187," 27,900 ",3,0," 83,700 "
186,2019-02-06,14,베네디스,MP010040," 94,300 ",1,0.1," 84,870 "
187,2019-02-06,16,대진상사,SP320547," 332,400 ",13,0," 4,321,200 "
188,2019-02-06,47,삼인시스템,OA290044," 40,000 ",3,0," 120,000 "
189,2019-02-06,43,드림테크,SP320547," 332,400 ",4,0," 1,329,600 "
190,2019-02-07,48,한양이엔지,OA290139," 17,500 ",14,0," 245,000 "
191,2019-02-07,34,ABC상사,MP010035," 80,700 ",6,0.1," 435,780 "
192,2019-02-07,12,유니테크,CA280190," 26,900 ",2,0.1," 48,420 "
193,2019-02-07,16,대진상사,MT180376," 60,400 ",15,0," 906,000 "
194,2019-02-07,9,월드링크,TV090343," 424,900 ",14,0," 5,948,600 "
195,2019-02-08,32,대한전자,CA280189," 26,900 ",5,0.1," 121,050 "
196,2019-02-08,20,세종물산,PA220232," 156,600 ",2,0," 313,200 "
197,2019-02-08,10,신영상사,CA280221," 9,300 ",12,0.1," 100,440 "
198,2019-02-08,47,삼인시스템,DS240466," 398,200 ",2,0.1," 716,760 "
199,2019-02-09,7,삼화상사,PA220313," 22,800 ",3,0," 68,400 "
200,2019-02-09,47,삼인시스템,CA280194," 105,000 ",3,0.1," 283,500 "
201,2019-02-09,15,협우상사,BH060510," 58,200 ",3,0.1," 157,140 "
202,2019-02-09,28,서진전자,OA290021," 43,700 ",4,0," 174,800 "
203,2019-02-10,32,대한전자,PA220206," 40,200 ",2,0," 80,400 "
204,2019-02-10,27,이화무역,BH060504," 46,100 ",12,0.1," 497,880 "
205,2019-02-10,39,명성전자,CA280192," 105,000 ",4,0.1," 378,000 "
206,2019-02-10,19,양정물산,TV090658," 1,293,600 ",7,0," 9,055,200 "
207,2019-02-10,3,태화상사,SP320552," 300,000 ",17,0," 5,100,000 "
208,2019-02-11,2,혜성전자,TV090353," 607,000 ",11,0," 6,677,000 "
209,2019-02-11,33,신성무역,BH060635," 218,700 ",2,0.1," 393,660 "
210,2019-02-11,36,굿모닝전자,PA220077," 26,800 ",4,0," 107,200 "
211,2019-02-11,53,국제전자,TV090658," 1,293,600 ",2,0.2," 2,069,760 "
212,2019-02-12,5,오성통상,BH060513," 58,200 ",7,0.2," 325,920 "
213,2019-02-12,5,오성통상,SP310549," 352,100 ",13,0.2," 3,661,840 "
214,2019-02-12,27,이화무역,PA220094," 36,200 ",3,0.2," 86,880 "
215,2019-02-12,35,에이빌,DV350152," 13,400 ",4,0.2," 42,880 "
216,2019-02-12,39,명성전자,SP310549," 352,100 ",3,0.2," 845,040 "
217,2019-02-13,25,삼양상사,CA270483," 239,600 ",5,0.2," 958,400 "
218,2019-02-13,18,우주전산,CA280189," 26,900 ",5,0.2," 107,600 "
219,2019-02-14,9,월드링크,PA220277," 14,000 ",8,0.2," 89,600 "
220,2019-02-14,52,제우스,OA290182," 53,200 ",14,0.2," 595,840 "
221,2019-02-14,15,협우상사,CA280102," 67,200 ",20,0.2," 1,075,200 "
222,2019-02-14,42,우리정보,PA220211," 202,000 ",3,0.1," 545,400 "
223,2019-02-14,40,가나전자,CA280298," 80,700 ",8,0.1," 581,040 "
224,2019-02-14,14,베네디스,SP320555," 356,000 ",4,0.1," 1,281,600 "
225,2019-02-14,36,굿모닝전자,OA290182," 53,200 ",2,0.1," 95,760 "
226,2019-02-15,22,동도교역,MP010053," 261,700 ",18,0.1," 4,239,540 "
227,2019-02-15,17,티엔씨에스,CA270430," 824,100 ",7,0.1," 5,191,830 "
228,2019-02-15,46,부성전자,OA290204," 35,200 ",5,0.1," 158,400 "
229,2019-02-16,24,유미백화점,TV090351," 607,000 ",9,0.1," 4,916,700 "
230,2019-02-16,38,K마켓,NT150600," 916,200 ",5,0," 4,581,000 "
231,2019-02-16,48,한양이엔지,CA270446," 458,300 ",5,0.1," 2,062,350 "
232,2019-02-16,15,협우상사,MT180606," 541,400 ",20,0.1," 9,745,200 "
233,2019-02-17,35,에이빌,PA220209," 48,400 ",3,0.1," 130,680 "
234,2019-02-17,22,동도교역,CA280129," 37,700 ",10,0.1," 339,300 "
235,2019-02-17,34,ABC상사,MP010028," 223,100 ",2,0.1," 401,580 "
236,2019-02-17,9,월드링크,OA290134," 40,000 ",9,0.1," 324,000 "
237,2019-02-18,45,인터비타,DS240472," 475,800 ",22,0.1," 9,420,840 "
238,2019-02-18,18,우주전산,BH060510," 58,200 ",10,0.1," 523,800 "
239,2019-02-18,12,유니테크,NT150384," 628,600 ",10,0.1," 5,657,400 "
240,2019-02-18,50,프로시스템즈,TV090648," 556,600 ",2,0.1," 1,001,880 "
241,2019-02-18,8,태강교역,OA290022," 22,900 ",12,0.1," 247,320 "
242,2019-02-18,12,유니테크,MP010027," 223,100 ",5,0.1," 1,003,950 "
243,2019-02-18,16,대진상사,OA290022," 22,900 ",11,0.1," 226,710 "
244,2019-02-19,53,국제전자,DC230643," 433,000 ",7,0.1," 2,727,900 "
245,2019-02-19,10,신영상사,SP310578," 313,200 ",8,0.1," 2,255,040 "
246,2019-02-19,7,삼화상사,PC170694," 423,700 ",2,0.1," 762,660 "
247,2019-02-19,30,샤론통상,SP310578," 313,200 ",16,0.1," 4,510,080 "
248,2019-02-20,49,강남상사,PE040582," 210,000 ",18,0.1," 3,402,000 "
249,2019-02-20,8,태강교역,PA220092," 36,200 ",7,0.1," 228,060 "
250,2019-02-20,31,한진무역,CA270419," 860,500 ",2,0.1," 1,548,900 "
251,2019-02-20,52,제우스,PJ200276," 219,500 ",5,0," 1,097,500 "
252,2019-02-20,14,베네디스,TV090657," 1,073,600 ",1,0," 1,073,600 "
253,2019-02-20,4,동광통상,TVAC040665," 74,800 ",2,0," 149,600 "
254,2019-02-21,17,티엔씨에스,PA220109," 33,900 ",6,0.1," 183,060 "
255,2019-02-21,30,샤론통상,DV350171," 194,200 ",3,0.1," 524,340 "
256,2019-02-21,18,우주전산,PA220314," 22,800 ",9,0.1," 184,680 "
257,2019-02-21,26,신세기상사,SP320547," 332,400 ",7,0.1," 2,094,120 "
258,2019-02-22,19,양정물산,BH060632," 218,700 ",3,0.1," 590,490 "
259,2019-02-22,1,한미전자,PA220076," 26,800 ",5,0.1," 120,600 "
260,2019-02-22,8,태강교역,SP320550," 300,000 ",13,0.1," 3,510,000 "
261,2019-02-22,26,신세기상사,OA290179," 48,800 ",7,0.1," 307,440 "
262,2019-02-22,13,미림상사,SP320550," 300,000 ",4,0.1," 1,080,000 "
263,2019-02-22,47,삼인시스템,OA290179," 48,800 ",3,0.1," 131,760 "
264,2019-02-23,7,삼화상사,BH060671," 58,200 ",19,0.1," 995,220 "
265,2019-02-23,1,한미전자,NT150390," 700,300 ",20,0," 14,006,000 "
266,2019-02-23,25,삼양상사,PA220088," 131,200 ",3,0.1," 354,240 "
267,2019-02-23,12,유니테크,MP010012," 29,000 ",20,0.1," 522,000 "
268,2019-02-23,50,프로시스템즈,CA280286," 520,400 ",7,0.1," 3,278,520 "
269,2019-02-24,10,신영상사,TV090658," 1,293,600 ",5,0," 6,468,000 "
270,2019-02-24,24,유미백화점,PA220124," 29,000 ",19,0.1," 495,900 "
271,2019-02-24,3,태화상사,OA290181," 48,800 ",13,0.1," 570,960 "
272,2019-02-24,8,태강교역,OA290181," 48,800 ",5,0," 244,000 "
273,2019-02-25,39,명성전자,PJ200621," 187,100 ",2,0.1," 336,780 "
274,2019-02-25,42,우리정보,BH060521," 131,200 ",4,0.1," 472,320 "
275,2019-02-25,37,J마켓,SP320564," 210,000 ",5,0.1," 945,000 "
276,2019-02-25,24,유미백화점,PJ190664," 437,800 ",3,0.1," 1,182,060 "
277,2019-02-25,53,국제전자,SP320564," 210,000 ",24,0.1," 4,536,000 "
278,2019-02-26,22,동도교역,CA280118," 53,800 ",5,0.1," 242,100 "
279,2019-02-26,36,굿모닝전자,PA220063," 16,000 ",19,0.1," 273,600 "
280,2019-02-26,17,티엔씨에스,NT150689," 682,000 ",7,0.1," 4,296,600 "
281,2019-02-26,28,서진전자,OA290174," 48,500 ",26,0.1," 1,134,900 "
282,2019-02-26,53,국제전자,DV350167," 148,100 ",10,0.1," 1,332,900 "
283,2019-02-26,40,가나전자,TVAC040669," 99,000 ",7,0," 693,000 "
284,2019-02-26,52,제우스,OA290174," 48,500 ",30,0.1," 1,309,500 "
285,2019-02-27,12,유니테크,CA280223," 9,300 ",17,0.1," 142,290 "
286,2019-02-27,10,신영상사,PA220095," 36,200 ",6,0.1," 195,480 "
287,2019-02-27,52,제우스,TV090356," 455,400 ",10,0," 4,554,000 "
288,2019-02-27,52,제우스,PA220093," 36,200 ",12,0.1," 390,960 "
289,2019-02-27,38,K마켓,PJ190663," 437,800 ",15,0.1," 5,910,300 "
290,2019-02-28,48,한양이엔지,DV350150," 253,700 ",19,0.1," 4,338,270 "
291,2019-02-28,30,샤론통상,DS240463," 398,200 ",18,0.1," 6,450,840 "
292,2019-02-28,51,그린테크,DC230640," 433,000 ",26,0.1," 10,132,200 "
293,2019-02-28,31,한진무역,OA290187," 27,900 ",4,0," 111,600 "
294,2019-02-28,1,한미전자,CA270412," 581,500 ",11,0.1," 5,756,850 "
295,2019-02-28,24,유미백화점,OA290187," 27,900 ",26,0," 725,400 "
296,2019-03-01,26,신세기상사,DS240473," 420,300 ",15,0.1," 5,674,050 "
297,2019-03-01,17,티엔씨에스,OA290023," 22,900 ",10,0," 229,000 "
298,2019-03-01,25,삼양상사,SP310290," 310,800 ",3,0," 932,400 "
299,2019-03-01,9,월드링크,OA290187," 27,900 ",11,0," 306,900 "
300,2019-03-01,2,혜성전자,SP310565," 242,800 ",25,0," 6,070,000 "
301,2019-03-01,21,동화전자,OA290023," 22,900 ",11,0," 251,900 "
302,2019-03-01,8,태강교역,SP310290," 310,800 ",3,0," 932,400 "
303,2019-03-02,15,협우상사,CA270435," 519,500 ",13,0.1," 6,078,150 "
304,2019-03-02,5,오성통상,DV350167," 148,100 ",22,0," 3,258,200 "
305,2019-03-02,4,동광통상,PA220233," 156,600 ",7,0.1," 986,580 "
306,2019-03-02,25,삼양상사,PA220073," 71,200 ",4,0.1," 256,320 "
307,2019-03-03,4,동광통상,PJ190250," 907,400 ",6,0," 5,444,400 "
308,2019-03-03,21,동화전자,PJ200620," 187,100 ",4,0," 748,400 "
309,2019-03-03,49,강남상사,SP320539," 400,600 ",9,0.1," 3,244,860 "
310,2019-03-03,26,신세기상사,MP010003," 242,700 ",10,0.1," 2,184,300 "
311,2019-03-03,12,유니테크,MT180401," 496,400 ",2,0," 992,800 "
312,2019-03-03,32,대한전자,SP320539," 400,600 ",7,0.1," 2,523,780 "
313,2019-03-04,38,K마켓,PA220088," 131,200 ",10,0.1," 1,180,800 "
314,2019-03-04,44,영진전자,MP010028," 223,100 ",2,0.1," 401,580 "
315,2019-03-05,14,베네디스,NT150388," 628,600 ",4,0," 2,514,400 "
316,2019-03-05,2,혜성전자,DS240469," 398,200 ",22,0.1," 7,884,360 "
317,2019-03-05,23,알프스무역,CA270488," 226,100 ",9,0.1," 1,831,410 "
318,2019-03-05,32,대한전자,PA220074," 71,200 ",1,0.1," 64,080 "
319,2019-03-06,40,가나전자,SP310568," 325,400 ",20,0," 6,508,000 "
320,2019-03-06,5,오성통상,PA220239," 17,500 ",2,0.1," 31,500 "
321,2019-03-06,30,샤론통상,PA220226," 17,400 ",7,0.1," 109,620 "
322,2019-03-07,44,영진전자,MP010039," 94,300 ",3,0.1," 254,610 "
323,2019-03-07,2,혜성전자,OA290184," 53,200 ",7,0," 372,400 "
324,2019-03-07,28,서진전자,PA220089," 131,200 ",5,0," 656,000 "
325,2019-03-08,27,이화무역,OA290032," 43,700 ",23,0," 1,005,100 "
326,2019-03-08,31,한진무역,CA270488," 226,100 ",16,0.1," 3,255,840 "
327,2019-03-08,34,ABC상사,TVAC040669," 99,000 ",4,0," 396,000 "
328,2019-03-08,33,신성무역,NT150456," 537,000 ",22,0," 11,814,000 "
329,2019-03-08,43,드림테크,DV350167," 148,100 ",27,0," 3,998,700 "
330,2019-03-08,43,드림테크,TVAC040665," 74,800 ",13,0," 972,400 "
